A1,A2,A3,A4,A5,Noise,,Noise,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1.04,,,,,,,,,,,,,,,
,,,,,,,0.96,,,,,,,,,,,,,,,
,,,,,,,0.96,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,0.96,,,,,,,,,,,,,,,
,,,,,,,0.97,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,0.99,,,,,,,,,,,,,,,
,,,,,,,1.03,,,,,,,,,,,,,,,
,,,,,,,1.06,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1.03,,,,,,,,,,,,,,,
,,,,,,,1.05,,,,,,,,,,,,,,,
,,,,,,,1.09,,,,,,,,,,,,,,,
,,,,,,,1.12,,,,,,,,,,,,,,,
,,,,,,,1.13,,,,,,,,,,,,,,,
,,,,,,,1.1,,,,,,,,,,,,,,,
,,,,,,,1.07,,,,,,,,,,,,,,,
,,,,,,,1.04,,,,,,,,,,,,,,,
,,,,,,,1.02,,,,,,,,,,,,,,,
,,,,,,,0.96,,,,,,,,,,,,,,,
,,,,,,,0.99,,,,,,,,,,,,,,,
,,,,,,,0.99,,,,,,,,,,,,,,,
,,,,,,,1.05,,,,,,,,,,,,,,,
,,,,,,,1.13,,,,,,,,,,,,,,,
,,,,,,,1.2,,,,,,,,,,,,,,,
,,,,,,,1.26,,,,,,,,,,,,,,,
,,,,,,,1.26,,,,,,,,,,,,,,,
,,,,,,,1.23,,,,,,,,,,,,,,,
,,,,,,,1.25,,,,,,,,,,,,,,,
,,,,,,,1.27,,,,,,,,,,,,,,,
,,,,,,,1.2,,,,,,,,,,,,,,,
,,,,,,,1.14,,,,,,,,,,,,,,,
,,,,,,,1.07,,,,,,,,,,,,,,,
,,,,,,,0.98,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,0.93,,,,,,,,,,,,,,,
,,,,,,,0.93,,,,,,,,,,,,,,,
,,,,,,,0.94,,,,,,,,,,,,,,,
,,,,,,,0.96,,,,,,,,,,,,,,,
,,,,,,,0.98,,,,,,,,,,,,,,,
,,,,,,,1.03,,,,,,,,,,,,,,,
,,,,,,,1.03,,,,,,,,,,,,,,,
,,,,,,,1.04,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1.11,,,,,,,,,,,,,,,
,,,,,,,1.11,,,,,,,,,,,,,,,
,,,,,,,1.07,,,,,,,,,,,,,,,
,,,,,,,1.09,,,,,,,,,,,,,,,
,,,,,,,1.11,,,,,,,,,,,,,,,
,,,,,,,1.13,,,,,,,,,,,,,,,
,,,,,,,1.11,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1.06,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,0.98,,,,,,,,,,,,,,,
,,,,,,,0.97,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,1.06,,,,,,,,,,,,,,,
,,,,,,,1.06,,,,,,,,,,,,,,,
,,,,,,,1.16,,,,,,,,,,,,,,,
,,,,,,,1.17,,,,,,,,,,,,,,,
